Postcode,Suburb,ID_Domain,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,5thPercentileSoldPrice,25thPercentileSoldPrice,75thPercentileSoldPrice,95thPercentileSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
3067,Abbotsford,627,1220000.0,75.0,2810000.0,735000.0,863000.0,1025000.0,1445000.0,1886000.0,1200000.0,89.0,2625000.0,499000.0,49.0,32.0,610.0,204.0,1300.0,320.0
3040,Aberfeldie,647,1360000.0,223.0,4000000.0,283000.0,545000.0,1000000.0,1811000.0,2985000.0,1250000.0,295.0,7000000.0,280000.0,147.0,92.0,495.0,419.0,1250.0,230.0
3042,Airport West,757,1050000.0,99.0,2870000.0,600000.0,710000.0,849000.0,1265000.0,1454000.0,965000.0,115.0,2900000.0,590000.0,65.0,40.0,500.0,135.0,1100.0,280.0
3021,Albanvale,787,613000.0,336.0,1550000.0,330000.0,450000.0,555000.0,685000.0,845000.0,599000.0,506.0,1460000.0,55000.0,91.0,43.0,350.0,655.0,1593.0,170.0
3206,Albert Park,797,2680000.0,49.0,8600000.0,1235000.0,1525000.0,2250000.0,3575000.0,5900000.0,2600000.0,65.0,9750000.0,1300000.0,35.0,19.0,800.0,99.0,1900.0,330.0
3020,Albion,837,651000.0,172.0,1600000.0,360000.0,480000.0,590000.0,750000.0,980000.0,630000.0,215.0,1200000.0,290000.0,83.0,54.0,370.0,299.0,550.0,275.0
3078,Alphington,1047,1373000.0,67.0,3070000.0,663000.0,835000.0,1040000.0,1625000.0,2430000.0,1175000.0,68.0,2600000.0,419000.0,34.0,25.0,550.0,147.0,1100.0,245.0
3028,Altona Meadows,1127,673000.0,57.0,930000.0,480000.0,555000.0,620000.0,760000.0,848000.0,650000.0,68.0,1000000.0,373000.0,,,380.0,98.0,600.0,290.0
3025,Altona North,1137,825000.0,264.0,2660000.0,74000.0,625000.0,735000.0,910000.0,1070000.0,800000.0,286.0,3000000.0,490000.0,72.0,28.0,460.0,374.0,895.0,250.0
3018,Altona,1057,993000.0,26.0,1720000.0,708000.0,790000.0,865000.0,1345000.0,1600000.0,960000.0,32.0,1755000.0,330000.0,5.0,2.0,550.0,43.0,825.0,118.0
3022,Ardeer,1507,630000.0,43.0,1375000.0,420000.0,480000.0,575000.0,682000.0,782000.0,583000.0,51.0,900000.0,400000.0,22.0,17.0,350.0,78.0,600.0,275.0
3143,Armadale,1587,2523000.0,81.0,12150000.0,1210000.0,1235000.0,1675000.0,3100000.0,6508000.0,2500000.0,100.0,10000000.0,229000.0,36.0,25.0,700.0,177.0,2400.0,320.0
3936,Arthurs Seat,1687,865000.0,201.0,3250000.0,181000.0,593000.0,774000.0,1035000.0,1625000.0,870000.0,257.0,5500000.0,108000.0,23.0,14.0,550.0,116.0,1400.0,120.0
3032,Ascot Vale,1757,1618000.0,17.0,6500000.0,780000.0,780000.0,1050000.0,1800000.0,6500000.0,1450000.0,22.0,6500000.0,740000.0,13.0,8.0,480.0,30.0,1000.0,325.0
3147,Ashburton,1787,1250000.0,77.0,2115000.0,765000.0,830000.0,1020000.0,1386000.0,1700000.0,1100000.0,113.0,2600000.0,140000.0,46.0,29.0,530.0,165.0,995.0,320.0
3147,Ashwood,1807,1250000.0,77.0,2115000.0,765000.0,830000.0,1020000.0,1386000.0,1700000.0,1100000.0,113.0,2600000.0,140000.0,46.0,29.0,530.0,165.0,995.0,320.0
3195,Aspendale,1817,1530000.0,23.0,1950000.0,670000.0,800000.0,1282000.0,1700000.0,1810000.0,1415000.0,33.0,1900000.0,780000.0,3.0,1.0,690.0,24.0,1000.0,480.0
3195,Aspendale Gardens,1837,1530000.0,23.0,1950000.0,670000.0,800000.0,1282000.0,1700000.0,1810000.0,1415000.0,33.0,1900000.0,780000.0,3.0,1.0,690.0,24.0,1000.0,480.0
3049,Attwood,1857,620000.0,99.0,886000.0,360000.0,480000.0,565000.0,700000.0,830000.0,590000.0,137.0,2100000.0,375000.0,54.0,34.0,395.0,98.0,570.0,260.0
3034,Avondale Heights,1957,863000.0,133.0,2540000.0,503000.0,670000.0,770000.0,950000.0,1275000.0,800000.0,170.0,12475000.0,450000.0,76.0,62.0,430.0,212.0,1080.0,280.0
3782,Avonsleigh,1977,,6.0,1426000.0,850000.0,,,,,1150000.0,13.0,2900000.0,800000.0,,,,,,
3183,Balaclava,2197,1670000.0,57.0,3350000.0,636000.0,1015000.0,1272000.0,2080000.0,3050000.0,1300000.0,76.0,3465000.0,177000.0,40.0,33.0,620.0,177.0,1600.0,210.0
3103,Balwyn,2557,2310000.0,156.0,6150000.0,530000.0,1350000.0,1860000.0,2870000.0,4431000.0,2200000.0,226.0,6450000.0,100000.0,81.0,61.0,700.0,177.0,2420.0,300.0
3104,Balwyn North,2597,1945000.0,299.0,5750000.0,728000.0,1300000.0,1640000.0,2490000.0,3950000.0,1800000.0,387.0,5800000.0,100000.0,143.0,107.0,648.0,290.0,2500.0,300.0
3175,Bangholme,2687,,,,,,,,,,,,,,,,,,
3911,Baxter,3267,1433000.0,12.0,2200000.0,636000.0,636000.0,760000.0,1900000.0,2200000.0,1550000.0,11.0,3500000.0,585000.0,,,,1.0,365.0,365.0
3153,Bayswater,3337,719000.0,126.0,1080000.0,358000.0,490000.0,650000.0,791000.0,965000.0,690000.0,139.0,1100000.0,35000.0,24.0,14.0,410.0,70.0,650.0,310.0
3153,Bayswater North,3387,719000.0,126.0,1080000.0,358000.0,490000.0,650000.0,791000.0,965000.0,690000.0,139.0,1100000.0,35000.0,24.0,14.0,410.0,70.0,650.0,310.0
3807,Beaconsfield,3417,,3.0,1355000.0,991000.0,,,,,,3.0,1425000.0,900000.0,,,,,,
3193,Beaumaris,3547,1945000.0,63.0,5280000.0,860000.0,1050000.0,1515000.0,2765000.0,3858000.0,1850000.0,87.0,5000000.0,750000.0,38.0,25.0,800.0,83.0,2700.0,365.0
3160,Belgrave,3617,782000.0,28.0,1200000.0,530000.0,640000.0,706000.0,880000.0,1130000.0,725000.0,31.0,1100000.0,500000.0,2.0,1.0,540.0,10.0,580.0,215.0
3160,Belgrave Heights,3627,782000.0,28.0,1200000.0,530000.0,640000.0,706000.0,880000.0,1130000.0,725000.0,31.0,1100000.0,500000.0,2.0,1.0,540.0,10.0,580.0,215.0
3160,Belgrave South,3637,782000.0,28.0,1200000.0,530000.0,640000.0,706000.0,880000.0,1130000.0,725000.0,31.0,1100000.0,500000.0,2.0,1.0,540.0,10.0,580.0,215.0
3081,Bellfield,3787,699000.0,81.0,1300000.0,438000.0,575000.0,636000.0,765000.0,880000.0,650000.0,88.0,1300000.0,400000.0,21.0,12.0,390.0,153.0,650.0,81.0
3204,Bentleigh,4117,1647000.0,59.0,2975000.0,632000.0,780000.0,1365000.0,1835000.0,2865000.0,1388000.0,97.0,2800000.0,500000.0,35.0,27.0,610.0,114.0,2200.0,265.0
3165,Bentleigh East,4127,1273000.0,394.0,2680000.0,610000.0,834000.0,1075000.0,1400000.0,1752000.0,1200000.0,453.0,2220000.0,380000.0,204.0,150.0,615.0,524.0,1200.0,290.0
