,Suburb,ID_Domain
275,North Richmond,N/A
276,North Warrandyte,31077
277,Northcote,31107
278,Norwood,N/A
279,Notting Hill,31177
280,Nunawading,31307
281,Oak Park,31507
282,Oaklands Junction,31517
283,Oakleigh,31547
284,Oakleigh East,31567
285,Oakleigh South,31597
286,Olinda,31667
287,Olivers Hill,N/A
288,Ormond,31767
289,Pakenham,31947
290,Panton Hill,32007
291,Park Orchards,32077
292,Parkdale,32097
293,Parkville,32107
294,Pascoe Vale South,32177
295,Pascoe Vale,32147
296,The Patch,39857
297,Patterson Lakes,32277
298,Pennydale,N/A
299,Plenty,32887
300,Point Cook,32927
301,Port Melbourne,33267
302,Portsea,33327
303,Prahran,33397
304,Preston,33507
305,Princes Hill,33537
306,Ravenhall,33817
307,Research,34117
308,Reservoir,34167
309,Richmond,34297
310,Ringwood,34397
311,Ringwood East,34437
312,Ringwood North,34477
313,Ripponlea,34527
314,Rockbank,34697
315,Rosanna,34817
316,Rosebud,34867
317,Rosebud West,N/A
318,Rowville,35057
319,Roxburgh Park,35077
320,Rye,35247
321,Safety Beach,35287
322,St Albans,37177
323,St Helena,37357
324,St Kilda,37407
325,St Kilda East,37447
326,St Kilda West,37507
327,Sandhurst,35597
328,Sandringham,35637
329,Sassafras,35697
330,Scoresby,35767
331,Seabrook,35847
332,Seaford,35867
333,Seaholme,35887
334,Seddon,35997
335,Selby,36027
336,Seville,36087
337,Sherbrooke,36347
338,Skye,36517
339,Somerton,36667
340,Sorrento,36697
341,South Kingsville,36757
342,South Melbourne,36797
343,South Morang,36827
344,South Wharf,64017
345,South Yarra,36877
346,Southbank,36897
347,Spotswood,36987
348,Springvale,37117
349,Springvale South,37157
350,Strathmore,38037
351,Strathmore Heights,38047
352,Sunbury,38197
353,Sunshine,38277
354,Sunshine North,38287
355,Sunshine West,38297
356,Surrey Hills,38357
357,Sydenham,38547
358,Syndal,N/A
359,Tally Ho,N/A
360,Tarneit,39087
361,Taylors Hill,39447
362,Taylors Lakes,39487
363,Tecoma,39517
364,Templestowe,39607
365,Templestowe Lower,39637
366,The Basin,39797
367,Thomastown,39897
368,Thornbury,39937
369,Toorak,40457
370,Tootgarook,40487
371,Tottenham,40547
372,Travancore,40727
373,Tremont,40767
374,Truganina,40897
375,Tullamarine,40947
376,Upfield,N/A
377,Upper Ferntree Gully,41327
378,Upwey,41407
379,Vermont,41507
380,Vermont South,41517
381,Viewbank,41617
382,Wantirna,42327
383,Wantirna South,42337
384,Warrandyte,42597
385,Warrandyte South,42617
386,Warranwood,42627
387,Waterways,42857
388,Watsonia,42887
389,Watsonia North,42897
390,Wattle Glen,42957
391,Waverley Park,N/A
392,Werribee,43317
393,Werribee South,43337
394,West Footscray,43407
395,West Melbourne,43457
396,Westgarth,N/A
397,Westmeadows,43577
398,Wheelers Hill,43647
399,Wildwood,43867
400,Williams Landing,48227
401,Williamstown,43967
402,Williamstown North,43977
403,Windsor,44117
404,Wonga Park,44437
405,Wyndham Vale,45307
406,Yallambie,45427
407,Yarrambat,45747
408,Yarraville,45777
409,Yuroke,46107
