Postcode,Suburb,ID_Domain,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,5thPercentileSoldPrice,25thPercentileSoldPrice,75thPercentileSoldPrice,95thPercentileSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
3067,Abbotsford,627,990000.0,57.0,2425000.0,370000.0,661000.0,808000.0,1445000.0,2000000.0,1150000.0,71.0,2573000.0,115000.0,50.0,26.0,645.0,150.0,1250.0,400.0
3040,Aberfeldie,647,1368000.0,244.0,8000000.0,297000.0,480000.0,876000.0,1820000.0,2850000.0,1300000.0,285.0,8000000.0,280000.0,182.0,94.0,525.0,373.0,1400.0,250.0
3042,Airport West,757,953000.0,74.0,1500000.0,480000.0,610000.0,800000.0,1100000.0,1328000.0,953000.0,98.0,1470000.0,500000.0,62.0,24.0,475.0,125.0,1350.0,260.0
3021,Albanvale,787,596000.0,348.0,1400000.0,300000.0,410000.0,510000.0,650000.0,820000.0,599000.0,532.0,2500000.0,60000.0,132.0,41.0,360.0,521.0,1647.0,190.0
3206,Albert Park,797,2575000.0,55.0,8600000.0,735000.0,1353000.0,1990000.0,3650000.0,6725000.0,2425000.0,52.0,13000000.0,315000.0,37.0,17.0,840.0,95.0,2000.0,350.0
3020,Albion,837,615000.0,187.0,1160000.0,376000.0,450000.0,570000.0,691000.0,810000.0,600000.0,275.0,1600000.0,59000.0,139.0,55.0,375.0,291.0,650.0,280.0
3078,Alphington,1047,1100000.0,75.0,2805000.0,300000.0,410000.0,820000.0,1330000.0,2100000.0,1100000.0,90.0,3000000.0,300000.0,63.0,36.0,600.0,146.0,1250.0,250.0
3028,Altona Meadows,1127,645000.0,53.0,855000.0,440000.0,500000.0,583000.0,702000.0,775000.0,645000.0,86.0,925000.0,330000.0,17.0,6.0,380.0,94.0,680.0,300.0
3025,Altona North,1137,783000.0,174.0,7843000.0,470000.0,580000.0,695000.0,880000.0,1070000.0,780000.0,247.0,1400000.0,285000.0,112.0,37.0,480.0,329.0,750.0,240.0
3018,Altona,1057,960000.0,25.0,2058000.0,660000.0,680000.0,850000.0,1250000.0,1840000.0,995000.0,33.0,2400000.0,600000.0,19.0,5.0,495.0,41.0,820.0,83.0
3022,Ardeer,1507,604000.0,50.0,1453000.0,440000.0,455000.0,560000.0,668000.0,920000.0,585000.0,74.0,1100000.0,270000.0,43.0,19.0,340.0,95.0,700.0,230.0
3143,Armadale,1587,1865000.0,137.0,23900000.0,369000.0,475000.0,930000.0,2950000.0,5500000.0,1963000.0,139.0,10000000.0,340000.0,96.0,50.0,750.0,154.0,3195.0,230.0
3936,Arthurs Seat,1687,800000.0,158.0,2650000.0,320000.0,515000.0,695000.0,901000.0,1635000.0,790000.0,231.0,3600000.0,230000.0,21.0,12.0,490.0,153.0,1100.0,110.0
3032,Ascot Vale,1757,,9.0,1850000.0,490000.0,,,,,,12.0,1790000.0,415000.0,6.0,3.0,450.0,14.0,600.0,390.0
