,Suburb,ID_Domain,Postcode
219,Laverton,23307,3028
220,Laverton North,23327,3026
221,Lilydale,23747,3140
222,Lower Plenty,24457,3093
223,Lynbrook,24557,3975
224,Lyndhurst,24577,3975
225,Lysterfield,24607,3156
226,Lysterfield South,24617,3156
227,Macclesfield,24647,3782
228,McCrae,25587,3938
229,McKinnon,25657,3204
230,Macleod,24687,3085
231,Maidstone,24877,3012
232,Malvern,25047,3144
233,Malvern East,25077,3145
234,Maribyrnong,25307,3032
235,Meadow Heights,25717,3048
236,Melbourne Airport,25907,3045
237,Melton (suburb),N/A,N/A
238,Melton South,25997,3338
239,Melton West,26007,3337
240,Mentone,26087,3194
241,Menzies Creek,26107,3159
242,Mernda,26237,3754
243,Mickleham,26487,3064
244,Middle Park,26507,3206
245,Milgate Park Estate,N/A,N/A
246,Mill Park,26637,3082
247,Mitcham,26977,3132
248,Monbulk,27267,3793
249,Mont Albert,27307,3127
250,Mont Albert North,27337,3129
251,Montmorency,27387,3094
252,Montrose,27397,3765
253,Moonee Ponds,27497,3039
254,Moorabbin Airport,27617,3194
255,Moorabbin,27577,3189
256,Moorooduc,27687,3933
257,Mooroolbark,27707,3138
258,Mordialloc,27817,3195
259,Mornington,27897,3931
260,Mount Dandenong,28157,3767
261,Mount Eliza,28217,3930
262,Mount Evelyn,28237,3796
263,Mount Martha,28317,3934
264,Mount Waverley,28457,3149
265,Mulgrave,29167,3170
266,Narre Warren East,30037,3804
267,Narre Warren North,30047,3804
268,Narre Warren South,30077,3805
269,Narre Warren,30017,3805
270,Newport,30557,3015
271,Niddrie,30687,3042
272,Noble Park,30827,3174
273,Noble Park North,30847,3174
274,North Melbourne,31037,3051
275,North Richmond,N/A,N/A
276,North Warrandyte,31077,3113
277,Northcote,31107,3070
278,Norwood,N/A,N/A
279,Notting Hill,31177,3168
280,Nunawading,31307,3131
281,Oak Park,31507,3046
282,Oaklands Junction,31517,3063
283,Oakleigh,31547,3166
284,Oakleigh East,31567,3166
285,Oakleigh South,31597,3167
286,Olinda,31667,3788
287,Olivers Hill,N/A,N/A
288,Ormond,31767,3204
289,Pakenham,31947,3810
290,Panton Hill,32007,3759
291,Park Orchards,32077,3114
292,Parkdale,32097,3195
293,Parkville,32107,3052
294,Pascoe Vale South,32177,3044
295,Pascoe Vale,32147,3044
296,The Patch,39857,3792
297,Patterson Lakes,32277,3197
298,Pennydale,N/A,N/A
299,Plenty,32887,3090
300,Point Cook,32927,3030
301,Port Melbourne,33267,3207
302,Portsea,33327,3944
303,Prahran,33397,3181
304,Preston,33507,3072
305,Princes Hill,33537,3054
306,Ravenhall,33817,3023
307,Research,34117,3095
308,Reservoir,34167,3073
309,Richmond,34297,3121
310,Ringwood,34397,3134
311,Ringwood East,34437,3135
312,Ringwood North,34477,3134
313,Ripponlea,34527,3185
314,Rockbank,34697,3335
315,Rosanna,34817,3084
316,Rosebud,34867,3939
317,Rosebud West,N/A,N/A
318,Rowville,35057,3178
319,Roxburgh Park,35077,3064
320,Rye,35247,3941
321,Safety Beach,35287,3936
322,St Albans,37177,3021
323,St Helena,37357,3088
324,St Kilda,37407,3182
325,St Kilda East,37447,3183
326,St Kilda West,37507,3182
327,Sandhurst,35597,3977
328,Sandringham,35637,3191
329,Sassafras,35697,3787
330,Scoresby,35767,3179
331,Seabrook,35847,3028
332,Seaford,35867,3198
333,Seaholme,35887,3018
334,Seddon,35997,3011
335,Selby,36027,3159
336,Seville,36087,3139
337,Sherbrooke,36347,3789
338,Skye,36517,3977
339,Somerton,36667,3062
340,Sorrento,36697,3943
341,South Kingsville,36757,3015
342,South Melbourne,36797,3205
343,South Morang,36827,3752
344,South Wharf,64017,3006
345,South Yarra,36877,3141
346,Southbank,36897,3006
347,Spotswood,36987,3015
348,Springvale,37117,3171
349,Springvale South,37157,3172
350,Strathmore,38037,3041
351,Strathmore Heights,38047,3041
352,Sunbury,38197,3429
353,Sunshine,38277,3020
354,Sunshine North,38287,3020
355,Sunshine West,38297,3020
356,Surrey Hills,38357,3127
357,Sydenham,38547,3037
358,Syndal,N/A,N/A
359,Tally Ho,N/A,N/A
360,Tarneit,39087,3029
361,Taylors Hill,39447,3037
362,Taylors Lakes,39487,3038
363,Tecoma,39517,3160
364,Templestowe,39607,3106
365,Templestowe Lower,39637,3107
366,The Basin,39797,3154
367,Thomastown,39897,3074
368,Thornbury,39937,3071
369,Toorak,40457,3142
370,Tootgarook,40487,3941
371,Tottenham,40547,3012
372,Travancore,40727,3032
373,Tremont,40767,3785
374,Truganina,40897,3029
375,Tullamarine,40947,3043
376,Upfield,N/A,N/A
377,Upper Ferntree Gully,41327,3156
378,Upwey,41407,3158
379,Vermont,41507,3133
380,Vermont South,41517,3133
381,Viewbank,41617,3084
382,Wantirna,42327,3152
383,Wantirna South,42337,3152
384,Warrandyte,42597,3113
385,Warrandyte South,42617,3134
386,Warranwood,42627,3134
387,Waterways,42857,3195
388,Watsonia,42887,3087
389,Watsonia North,42897,3087
390,Wattle Glen,42957,3096
391,Waverley Park,N/A,N/A
392,Werribee,43317,3030
393,Werribee South,43337,3030
394,West Footscray,43407,3012
395,West Melbourne,43457,3003
396,Westgarth,N/A,N/A
397,Westmeadows,43577,3049
398,Wheelers Hill,43647,3150
399,Wildwood,43867,3429
400,Williams Landing,48227,3027
401,Williamstown,43967,3016
402,Williamstown North,43977,3016
403,Windsor,44117,3181
404,Wonga Park,44437,3115
405,Wyndham Vale,45307,3024
406,Yallambie,45427,3085
407,Yarrambat,45747,3091
408,Yarraville,45777,3013
409,Yuroke,46107,3063
